CUSTOMER_ID,WEEK_START,AGGREGATE_AMOUNT,P_SUSPICIOUS,AGGRAVATING,MITIGATING,RAW,MODEL_NAME,RAN_AT
CU-100012,2025-08-18,950014.20,0.68,"Government Employee occupation receiving INR 950,014 in weekly cash (40% of declared monthly income) is fundamentally inconsistent with the employment profile—government salaries are paid electronically and the role generates no legitimate cash revenue stream.","Cash activity has been sustained and consistent for 26 consecutive weeks (96.2% coverage) with low volatility (0.19), showing the steady week-after-week pattern characteristic of genuine trade rather than the burst-and-pause rhythm typical of structuring.","{
  ""aggravating"": ""Government Employee occupation receiving INR 950,014 in weekly cash (40% of declared monthly income) is fundamentally inconsistent with the employment profile—government salaries are paid electronically and the role generates no legitimate cash revenue stream."",
  ""mitigating"": ""Cash activity has been sustained and consistent for 26 consecutive weeks (96.2% coverage) with low volatility (0.19), showing the steady week-after-week pattern characteristic of genuine trade rather than the burst-and-pause rhythm typical of structuring."",
  ""probability_suspicious"": 0.68
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2025-09-08,906271.98,0.68,"Government Employee occupation receiving INR 906,272 in weekly cash (38% of declared monthly income) is fundamentally inconsistent with the employment profile—government salaries are paid electronically and the role generates no legitimate cash revenue stream.","Cash activity has appeared consistently every single week for 26 weeks with low volatility (0.2), demonstrating the steady, predictable pattern characteristic of genuine ongoing business rather than the burst-and-pause rhythm typical of structuring.","{
  ""aggravating"": ""Government Employee occupation receiving INR 906,272 in weekly cash (38% of declared monthly income) is fundamentally inconsistent with the employment profile—government salaries are paid electronically and the role generates no legitimate cash revenue stream."",
  ""mitigating"": ""Cash activity has appeared consistently every single week for 26 weeks with low volatility (0.2), demonstrating the steady, predictable pattern characteristic of genuine ongoing business rather than the burst-and-pause rhythm typical of structuring."",
  ""probability_suspicious"": 0.68
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2025-11-03,976357.65,0.68,"Government Employee occupation receiving INR 976,358 in weekly cash (41% of monthly declared income) is fundamentally inconsistent with the employment type—government salaries are paid electronically and the role generates no legitimate cash revenue stream","Cash activity has appeared consistently every single week for 26 weeks with low volatility (0.2), showing the steady rhythm of genuine business rather than the burst pattern typical of structuring, and 59% of funds remain in the account suggesting operational use rather than rapid layering","{
  ""aggravating"": ""Government Employee occupation receiving INR 976,358 in weekly cash (41% of monthly declared income) is fundamentally inconsistent with the employment type—government salaries are paid electronically and the role generates no legitimate cash revenue stream"",
  ""mitigating"": ""Cash activity has appeared consistently every single week for 26 weeks with low volatility (0.2), showing the steady rhythm of genuine business rather than the burst pattern typical of structuring, and 59% of funds remain in the account suggesting operational use rather than rapid layering"",
  ""probability_suspicious"": 0.68
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2025-12-15,819416.61,0.68,"Government Employee occupation receiving INR 819,417 in weekly cash (0.35× monthly declared income) is fundamentally inconsistent—government salaries are paid electronically, and this occupation has no legitimate cash-generating business activity that would explain regular, substantial cash deposits across 26 consecutive weeks.","Cash activity has been consistent and sustained for 26 weeks with low volatility (0.22), appearing in 96.2% of weeks with naturally varying amounts—this steady, predictable pattern resembles legitimate ongoing business rather than the burst-and-disappear behavior typical of structuring, and most cash is retained (only 42% transferred out) suggesting operational business needs rather than rapid layering.","{
  ""aggravating"": ""Government Employee occupation receiving INR 819,417 in weekly cash (0.35× monthly declared income) is fundamentally inconsistent—government salaries are paid electronically, and this occupation has no legitimate cash-generating business activity that would explain regular, substantial cash deposits across 26 consecutive weeks."",
  ""mitigating"": ""Cash activity has been consistent and sustained for 26 weeks with low volatility (0.22), appearing in 96.2% of weeks with naturally varying amounts—this steady, predictable pattern resembles legitimate ongoing business rather than the burst-and-disappear behavior typical of structuring, and most cash is retained (only 42% transferred out) suggesting operational business needs rather than rapid layering."",
  ""probability_suspicious"": 0.68
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2025-12-22,924163.90,0.52,"Government Employee occupation receiving INR 924,164 in weekly cash (39% of monthly declared income) with 80% of deposits sitting just below round numbers—a classic structuring signature inconsistent with salaried government work, which generates no legitimate cash revenue stream.","Cash activity has appeared consistently for 26 straight weeks (96.2% of weeks active) with low volatility (0.22), showing the steady rhythm of an ongoing business rather than burst deposits typical of laundering; 58% of funds remain in the account suggesting working capital retention for a legitimate undeclared side business.","{
  ""aggravating"": ""Government Employee occupation receiving INR 924,164 in weekly cash (39% of monthly declared income) with 80% of deposits sitting just below round numbers—a classic structuring signature inconsistent with salaried government work, which generates no legitimate cash revenue stream."",
  ""mitigating"": ""Cash activity has appeared consistently for 26 straight weeks (96.2% of weeks active) with low volatility (0.22), showing the steady rhythm of an ongoing business rather than burst deposits typical of laundering; 58% of funds remain in the account suggesting working capital retention for a legitimate undeclared side business."",
  ""probability_suspicious"": 0.52
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2026-01-19,923013.35,0.55,"100% of deposits sit just below round numbers, which is the hallmark of deliberate structuring to avoid reporting thresholds. This is not a pattern that occurs naturally in legitimate business activity.","Cash activity has been steady and consistent for 26 consecutive weeks (96.2% of weeks active) with low volatility (0.17), showing the regular rhythm of an established business rather than the burst pattern typical of structuring. The weekly cash volume is proportionate to declared monthly income (0.39x), and most funds remain in the account rather than being immediately transferred out.","{
  ""aggravating"": ""100% of deposits sit just below round numbers, which is the hallmark of deliberate structuring to avoid reporting thresholds. This is not a pattern that occurs naturally in legitimate business activity."",
  ""mitigating"": ""Cash activity has been steady and consistent for 26 consecutive weeks (96.2% of weeks active) with low volatility (0.17), showing the regular rhythm of an established business rather than the burst pattern typical of structuring. The weekly cash volume is proportionate to declared monthly income (0.39x), and most funds remain in the account rather than being immediately transferred out."",
  ""probability_suspicious"": 0.55
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2026-02-16,818641.75,0.52,"Government Employee occupation receiving INR 818,642 in weekly cash (0.35× monthly declared income) — government salaries are paid electronically and this occupation has no legitimate basis for handling material cash volumes, yet activity has persisted consistently for 26 weeks.","Cash activity shows steady, regular pattern over 26 weeks (88.5% of weeks active, low volatility of 0.2) with funds largely retained in account (only 42% transferred out), consistent with an ongoing side business where the customer may have under-declared or failed to update their occupation during KYC — the pattern lacks the burst-and-exit behavior typical of structuring.","{
  ""aggravating"": ""Government Employee occupation receiving INR 818,642 in weekly cash (0.35× monthly declared income) — government salaries are paid electronically and this occupation has no legitimate basis for handling material cash volumes, yet activity has persisted consistently for 26 weeks."",
  ""mitigating"": ""Cash activity shows steady, regular pattern over 26 weeks (88.5% of weeks active, low volatility of 0.2) with funds largely retained in account (only 42% transferred out), consistent with an ongoing side business where the customer may have under-declared or failed to update their occupation during KYC — the pattern lacks the burst-and-exit behavior typical of structuring."",
  ""probability_suspicious"": 0.52
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2026-04-13,801940.24,0.58,"Government Employee occupation receiving INR 801,940 in weekly cash (0.34× monthly declared income) is fundamentally inconsistent with the employment profile—government salaries are paid electronically, and this role generates no legitimate cash revenue stream, yet cash activity has persisted steadily for 26 weeks.","Cash activity shows consistent, regular pattern over 26 weeks (84.6% of weeks active, low volatility of 0.19) with funds largely retained in account (only 37% transferred out), matching the profile of an established side business with steady customer flow rather than rapid structuring and layering typical of money laundering.","{
  ""aggravating"": ""Government Employee occupation receiving INR 801,940 in weekly cash (0.34× monthly declared income) is fundamentally inconsistent with the employment profile—government salaries are paid electronically, and this role generates no legitimate cash revenue stream, yet cash activity has persisted steadily for 26 weeks."",
  ""mitigating"": ""Cash activity shows consistent, regular pattern over 26 weeks (84.6% of weeks active, low volatility of 0.19) with funds largely retained in account (only 37% transferred out), matching the profile of an established side business with steady customer flow rather than rapid structuring and layering typical of money laundering."",
  ""probability_suspicious"": 0.58
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2026-06-01,844755.04,0.58,"Government Employee occupation receiving INR 844,755 in cash over 7 days (36% of monthly declared income) when government salaries are paid electronically and the role generates no legitimate cash revenue stream","Cash activity has been consistent for 26 consecutive weeks with low volatility (0.2), funds are largely retained in the account (only 38% transferred out), and the pattern shows steady weekly deposits rather than burst activity followed by rapid movement","{
  ""aggravating"": ""Government Employee occupation receiving INR 844,755 in cash over 7 days (36% of monthly declared income) when government salaries are paid electronically and the role generates no legitimate cash revenue stream"",
  ""mitigating"": ""Cash activity has been consistent for 26 consecutive weeks with low volatility (0.2), funds are largely retained in the account (only 38% transferred out), and the pattern shows steady weekly deposits rather than burst activity followed by rapid movement"",
  ""probability_suspicious"": 0.58
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
CU-100012,2026-06-08,860934.83,0.42,"Government Employee occupation with INR 860,935 in weekly cash deposits—this is fundamentally incompatible with a salaried government position, which receives income via bank transfer, not cash. The cash volume (0.36x monthly declared income in a single week) cannot be explained by the stated occupation and suggests undisclosed cash-generating activity.","Cash activity has been consistent and sustained over all 26 weeks with low volatility (0.2), showing a stable pattern rather than the burst behavior typical of structuring. Funds are largely retained (only 37% transferred out), consistent with operating capital for a legitimate business. The regular weekly pattern and natural variation suggest genuine commercial activity, even if the occupation declaration may be outdated or incomplete.","{
  ""aggravating"": ""Government Employee occupation with INR 860,935 in weekly cash deposits—this is fundamentally incompatible with a salaried government position, which receives income via bank transfer, not cash. The cash volume (0.36x monthly declared income in a single week) cannot be explained by the stated occupation and suggests undisclosed cash-generating activity."",
  ""mitigating"": ""Cash activity has been consistent and sustained over all 26 weeks with low volatility (0.2), showing a stable pattern rather than the burst behavior typical of structuring. Funds are largely retained (only 37% transferred out), consistent with operating capital for a legitimate business. The regular weekly pattern and natural variation suggest genuine commercial activity, even if the occupation declaration may be outdated or incomplete."",
  ""probability_suspicious"": 0.42
}",claude-sonnet-4-5,2026-09-16 11:12:09.364
